App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Last Updated,Current Ver,Android Ver
Photo Editor & Candy Camera & Grid & ScrapBook,ART_AND_DESIGN,4.1,159.0,19.0,10000.0,Free,0.0,Everyone,Art & Design,"January 7, 2018",1.0.0,4.0.3 and up
Coloring book moana,ART_AND_DESIGN,3.9,967.0,14.0,500000.0,Free,0.0,Everyone,Art & Design;Pretend Play,"January 15, 2018",2.0.0,4.0.3 and up
Pixel Draw - Number Art Coloring Book,ART_AND_DESIGN,4.3,967.0,2.8,100000.0,Free,0.0,Everyone,Art & Design;Creativity,"June 20, 2018",1.1,4.4 and up
Paper flowers instructions,ART_AND_DESIGN,4.4,167.0,5.6,50000.0,Free,0.0,Everyone,Art & Design,"March 26, 2017",1.0,2.3 and up
Smoke Effect Photo Maker - Smoke Editor,ART_AND_DESIGN,3.8,178.0,19.0,50000.0,Free,0.0,Everyone,Art & Design,"April 26, 2018",1.1,4.0.3 and up
Infinite Painter,ART_AND_DESIGN,4.1,36815.0,29.0,1000000.0,Free,0.0,Everyone,Art & Design,"June 14, 2018",6.1.61.1,4.2 and up
Garden Coloring Book,ART_AND_DESIGN,4.4,13791.0,33.0,1000000.0,Free,0.0,Everyone,Art & Design,"September 20, 2017",2.9.2,3.0 and up
Kids Paint Free - Drawing Fun,ART_AND_DESIGN,4.7,121.0,3.1,10000.0,Free,0.0,Everyone,Art & Design;Creativity,"July 3, 2018",2.8,4.0.3 and up
Text on Photo - Fonteee,ART_AND_DESIGN,4.4,13880.0,28.0,1000000.0,Free,0.0,Everyone,Art & Design,"October 27, 2017",1.0.4,4.1 and up
Name Art Photo Editor - Focus n Filters,ART_AND_DESIGN,4.4,8788.0,12.0,1000000.0,Free,0.0,Everyone,Art & Design,"July 31, 2018",1.0.15,4.0 and up
Mandala Coloring Book,ART_AND_DESIGN,4.6,4326.0,21.0,100000.0,Free,0.0,Everyone,Art & Design,"June 26, 2018",1.0.4,4.4 and up
3D Color Pixel by Number - Sandbox Art Coloring,ART_AND_DESIGN,4.4,1518.0,37.0,100000.0,Free,0.0,Everyone,Art & Design,"August 3, 2018",1.2.3,2.3 and up
Photo Designer - Write your name with shapes,ART_AND_DESIGN,4.7,3632.0,5.5,500000.0,Free,0.0,Everyone,Art & Design,"July 31, 2018",3.1,4.1 and up
350 Diy Room Decor Ideas,ART_AND_DESIGN,4.5,27.0,17.0,10000.0,Free,0.0,Everyone,Art & Design,"November 7, 2017",1.0,2.3 and up
Logo Maker - Small Business,ART_AND_DESIGN,4.0,450.0,14.0,100000.0,Free,0.0,Everyone,Art & Design,"April 20, 2018",4.0,4.1 and up
Boys Photo Editor - Six Pack & Men's Suit,ART_AND_DESIGN,4.1,654.0,12.0,100000.0,Free,0.0,Everyone,Art & Design,"March 20, 2018",1.1,4.0.3 and up
Superheroes Wallpapers | 4K Backgrounds,ART_AND_DESIGN,4.7,7699.0,4.2,500000.0,Free,0.0,Everyone 10+,Art & Design,"July 12, 2018",2.2.6.2,4.0.3 and up
Mcqueen Coloring pages,ART_AND_DESIGN,4.3,61.0,7.0,100000.0,Free,0.0,Everyone,Art & Design;Action & Adventure,"March 7, 2018",1.0.0,4.1 and up
HD Mickey Minnie Wallpapers,ART_AND_DESIGN,4.7,118.0,23.0,50000.0,Free,0.0,Everyone,Art & Design,"July 7, 2018",1.1.3,4.1 and up
Harley Quinn wallpapers HD,ART_AND_DESIGN,4.8,192.0,6.0,10000.0,Free,0.0,Everyone,Art & Design,"April 25, 2018",1.5,3.0 and up
Colorfit - Drawing & Coloring,ART_AND_DESIGN,4.7,20260.0,25.0,500000.0,Free,0.0,Everyone,Art & Design;Creativity,"October 11, 2017",1.0.8,4.0.3 and up
Animated Photo Editor,ART_AND_DESIGN,4.1,203.0,6.1,100000.0,Free,0.0,Everyone,Art & Design,"March 21, 2018",1.03,4.0.3 and up
Pencil Sketch Drawing,ART_AND_DESIGN,3.9,136.0,4.6,10000.0,Free,0.0,Everyone,Art & Design,"July 12, 2018",6.0,2.3 and up
Easy Realistic Drawing Tutorial,ART_AND_DESIGN,4.1,223.0,4.2,100000.0,Free,0.0,Everyone,Art & Design,"August 22, 2017",1.0,2.3 and up
Pink Silver Bow Keyboard Theme,ART_AND_DESIGN,4.2,1120.0,9.2,100000.0,Free,0.0,Everyone,Art & Design,"July 12, 2018",6.7.12.2018,4.0.3 and up
Art Drawing Ideas,ART_AND_DESIGN,4.1,227.0,5.2,50000.0,Free,0.0,Everyone,Art & Design,"May 31, 2018",1.2,2.3 and up
Anime Manga Coloring Book,ART_AND_DESIGN,4.5,5035.0,11.0,100000.0,Free,0.0,Everyone,Art & Design,"July 19, 2018",2.20,4.0 and up
Easy Origami Ideas,ART_AND_DESIGN,4.2,1015.0,11.0,100000.0,Free,0.0,Everyone,Art & Design,"January 6, 2018",1.1.0,4.1 and up
I Creative Idea,ART_AND_DESIGN,4.7,353.0,4.2,10000.0,Free,0.0,Teen,Art & Design,"April 27, 2018",1.6,4.1 and up
How to draw Ladybug and Cat Noir,ART_AND_DESIGN,3.8,564.0,9.2,100000.0,Free,0.0,Everyone,Art & Design,"July 11, 2018",2.1,4.1 and up
UNICORN - Color By Number & Pixel Art Coloring,ART_AND_DESIGN,4.7,8145.0,24.0,500000.0,Free,0.0,Everyone,Art & Design;Creativity,"August 2, 2018",1.0.9,4.4 and up
PIP Camera - PIP Collage Maker,ART_AND_DESIGN,4.7,158.0,11.0,10000.0,Free,0.0,Everyone,Art & Design,"November 29, 2017",1.3,4.0.3 and up
How To Color Disney Princess - Coloring Pages,ART_AND_DESIGN,4.0,591.0,9.4,500000.0,Free,0.0,Everyone,Art & Design,"March 31, 2018",1,4.0 and up
Drawing Clothes Fashion Ideas,ART_AND_DESIGN,4.2,117.0,15.0,10000.0,Free,0.0,Everyone,Art & Design,"July 20, 2018",2.0.1,4.0.3 and up
Sad Poetry Photo Frames 2018,ART_AND_DESIGN,4.5,176.0,10.0,100000.0,Free,0.0,Everyone,Art & Design,"April 2, 2018",1.0,4.0.3 and up
Paint Splash!,ART_AND_DESIGN,3.8,2206.0,1.2,100000.0,Free,0.0,Everyone,Art & Design;Creativity,"April 15, 2018",1.46,4.1 and up
Popsicle Sticks and Similar DIY Craft Ideas,ART_AND_DESIGN,4.2,26.0,12.0,10000.0,Free,0.0,Everyone,Art & Design,"January 3, 2018",1.0.0,4.1 and up
Install images with music to make video without Net - 2018,ART_AND_DESIGN,4.6,1070.0,26.0,100000.0,Free,0.0,Everyone,Art & Design,"November 14, 2017",1.6,4.1 and up
Little Teddy Bear Colouring Book Game,ART_AND_DESIGN,4.2,85.0,8.0,100000.0,Free,0.0,Everyone,Art & Design,"December 17, 2017",2.0.0,4.1 and up
How To Draw Food,ART_AND_DESIGN,4.3,845.0,7.9,100000.0,Free,0.0,Everyone,Art & Design,"May 28, 2018",1.0,2.3 and up
Monster Truck Stunt 3D 2019,AUTO_AND_VEHICLES,4.2,367.0,25.0,100000.0,Free,0.0,Everyone,Auto & Vehicles,"May 10, 2018",1.0,4.0.3 and up
Used Cars and Trucks for Sale,AUTO_AND_VEHICLES,4.6,17057.0,13.0,1000000.0,Free,0.0,Everyone,Auto & Vehicles,"July 30, 2018",Varies with device,Varies with device
American Muscle Car Race,AUTO_AND_VEHICLES,3.9,129.0,35.0,100000.0,Free,0.0,Everyone,Auto & Vehicles,"July 26, 2018",3.0,4.1 and up
Offroad Oil Tanker Driver Transport Truck 2019,AUTO_AND_VEHICLES,4.3,542.0,33.0,100000.0,Free,0.0,Everyone,Auto & Vehicles,"July 31, 2018",4.0,4.1 and up
Tickets SDA 2018 and Exam from the State Traffic Safety Inspectorate with Drom.ru,AUTO_AND_VEHICLES,4.9,10479.0,33.0,100000.0,Free,0.0,Everyone,Auto & Vehicles,"July 18, 2018",1.7.1,4.0 and up
Gas Prices (Germany only),AUTO_AND_VEHICLES,4.4,805.0,5.6,50000.0,Free,0.0,Everyone,Auto & Vehicles,"July 29, 2018",2.5.1,4.4 and up
Restart Navigator,AUTO_AND_VEHICLES,4.0,1403.0,0.1962890625,100000.0,Free,0.0,Everyone,Auto & Vehicles,"August 26, 2014",1.0.1,2.2 and up
"REG - Check the regnumber, find information about Swedish vehicles",AUTO_AND_VEHICLES,3.9,3971.0,3.6,100000.0,Free,0.0,Everyone,Auto & Vehicles,"July 30, 2018",2.493,4.4 and up
CityBus Lviv,AUTO_AND_VEHICLES,4.6,534.0,5.7,10000.0,Free,0.0,Everyone,Auto & Vehicles,"July 8, 2018",1.9.1,4.0.3 and up
CDL Practice Test 2018 Edition,AUTO_AND_VEHICLES,4.9,7774.0,17.0,100000.0,Free,0.0,Everyone,Auto & Vehicles,"July 3, 2018",1.7,4.2 and up
"ezETC (ETC balance inquiry, meter trial, real-time traffic)",AUTO_AND_VEHICLES,4.3,38846.0,8.6,1000000.0,Free,0.0,Everyone,Auto & Vehicles,"July 28, 2018",2.20 Build 02,4.1 and up
Free VIN Report for Used Cars,AUTO_AND_VEHICLES,4.6,2431.0,2.4,100000.0,Free,0.0,Everyone,Auto & Vehicles,"June 12, 2018",1.37,4.0 and up
DMV Permit Practice Test 2018 Edition,AUTO_AND_VEHICLES,4.9,6090.0,27.0,100000.0,Free,0.0,Everyone,Auto & Vehicles,"July 3, 2018",1.7,4.2 and up
Check Vehicle Tax,AUTO_AND_VEHICLES,3.9,295.0,2.7,10000.0,Free,0.0,Everyone,Auto & Vehicles,"July 30, 2018",0.2.1,4.4 and up
Used Cars Mexico,AUTO_AND_VEHICLES,4.0,190.0,2.5,50000.0,Free,0.0,Everyone,Auto & Vehicles,"October 14, 2016",1.0,2.3 and up
REPUVE,AUTO_AND_VEHICLES,3.9,356.0,13.0,100000.0,Free,0.0,Everyone,Auto & Vehicles,"May 25, 2018",Varies with device,Varies with device
